Q10,Label
"""The best and most beautiful things in the world cannot be seen or even touched - they must be felt with the heart.""Â -Helen Keller",Rio de Janeiro
Very Rich Place,Dubai
Jungle forests,Rio de Janeiro
"New York, New York, I want to wake up in a city that never sleeps",New York City
World cup,Rio de Janeiro
"""This is brazil""",Rio de Janeiro
Vive la revolution,Paris
"""Aunque digan que soy un bandolero donde voy""",Rio de Janeiro
This license plate is really expensive,Dubai
"New York is the city that never sleeps

Â ",New York City
â€œDubai teaches us that vision and ambition can change the destiny of a desert.â€,Dubai
"â€œNot anyone can become a great artist, but a great artist can come from anywhere.â€",Paris
"""If London is a watercolor, New York is an oil painting."" - Peter Shaffer",New York City
Big apple,New York City
The city that never sleeps,New York City
"""Money, Money, and Money""",Dubai
"""oui oui baguette""",Paris
No quotes come to mind when thinking about this city.,New York City
"""The city that exceeded expectations""",Dubai
burj khalifa,Dubai
3,Paris
Concrete jungle where dreams are made of,New York City
freedom,New York City
"""Habibi come to Dubai""",Dubai
I'm the king of New York.,New York City
"""HEY IM WAKIN' ERE!""",New York City
"Forest, Nature, Angry Birds",Rio de Janeiro
City of dreams.,New York City
Paris is not a city; itâ€™s a world.,Paris
"One belongs to New York instantly, one belongs to it as much in five minutes as in five years.",New York City
its always beautiful.,Rio de Janeiro
Exploit as much as possible,Dubai
City of love,Paris
"rio, angery birds, olympic, soccer",Rio de Janeiro
rich,New York City
"""Rich get richer""",Dubai
"""Live your passion""",Rio de Janeiro
Lively,Rio de Janeiro
Money Money Money,Dubai
That's a lot of money,Dubai
big apple,New York City
You have to fight to reach your dream. You have to sacrifice and work hard for it.,Rio de Janeiro
Big Rotten Apple,New York City
Capitalism,Dubai
In the country with the most World Cup wins.,Rio de Janeiro
"Thereâ€™s something about Paris, people just donâ€™t have anything else to do there but love each other.",Paris
We'll always have Paris.,Paris
"Anyone can do my job, but no one can be me.",New York City
"Gooooaaaaalll! Hot women, partying and carnivals, lots of favelas, and crime.",Rio de Janeiro
"""Neymarrrr""",Rio de Janeiro
croissants and cigarettesÂ ,Paris
"""If I can make it there,Â I'll make it anywhere ...Â I want to wake up in a city that never sleeps""",New York City
Busy city,New York City
City of fashion,Paris
oui oui baguette,Paris
"""build a wall""",New York City
"""Elderado, the lost city of gold""",Dubai
Jungle,Rio de Janeiro
"""Concrete jungle where dreams are made of""Â ",New York City
They have a joy for life,Rio de Janeiro
Concrete jungle where dreams are made of,New York City
Fifa world cup,Rio de Janeiro
"In Rio, there are only two seasons: Carnival and the wait for the next Carnival.",Rio de Janeiro
"Habibi
Yallah",Dubai
The Burj Khalifa is the world's tallest skyscraper.,Dubai
El Carnival !Â ,Rio de Janeiro
Life of the party.,Rio de Janeiro
"""city of dreams""",New York City
"""city of lights""",Paris
"Vivid, rich and authentic.",Dubai
Beautiful but empty candy wrapper,Dubai
Habibi come to Dubai!,Dubai
Greatest city on earth.,New York City
this is brazil,Rio de Janeiro
Matuidi Charo,Paris
American Dream,New York City
The bolder the better,Paris
We'll always have Paris.,Paris
Habibi come to dubai,Dubai
"""Paris is always a good idea""",Paris
"The night is young, lets keep the party going.",New York City
"One belongs to New York instantly, one belongs to it as much in five minutes as in five years.",New York City
Hot but beautiful,Rio de Janeiro
Location of the Eiffel Tower.,Paris
City of love.,Paris
"No quote, just big buildings.",Dubai
A little slice of heaven.,Dubai
C'est la vie,Paris
Happy New Years!,New York City
Soccer and olympics.,Rio de Janeiro
The city where the magic happens.,Rio de Janeiro
Eiffel Tower,Paris
chaois,Rio de Janeiro
Rio,Rio de Janeiro
The city of love.,Paris
"Live your life, don't get sucked into one",Rio de Janeiro
Welcome to New York,New York City
Dubai is a dream city.,Dubai
The most economically developed city,New York City
All in one rhythm,Rio de Janeiro
'Time to say Dubai',Dubai
"Je pense, donc je suis.",Paris
the sky is not the limit,Dubai
"Paris is not just a city for lovers, but a city to fall in love with.",Paris
The sky is not the limit,Dubai
Technology,Dubai
riâ€†ch,Dubai
"New York is not a city, its a world",New York City
One mans trash is another mans treasure,Rio de Janeiro
ultramodern architecture and a lively nightlife scene,Dubai
It's not the capital city of brazil,Rio de Janeiro
a new world - olympics,Rio de Janeiro
I love you,Paris
"Beaches, party",Rio de Janeiro
"Dubai's skyline is not just a testament to architectural prowess, but a symbol of boundless vision and the relentless pursuit of innovation.",Dubai
So many rich people,Dubai
Extremely iconic and world-renowned with a lot of classical variety,Paris
The city of rats.,New York City
romance,Paris
Live your passion.,Rio de Janeiro
The vein of the US,New York City
In New York by Alicia Keys,New York City
Freeeedom,New York City
Fast-paced life,New York City
"Tower, French breads",Paris
"""The magic ofÂ Rio de JaneiroÂ isn't just. â€œThey have a joy for life in Brazil unlike any country I've ever seen.â€",Rio de Janeiro
Where dreams reach new heights.,Dubai
The big apple.,New York City
Mona Lisa,Paris
When in Rome dine like the Romans.,Paris
City of love!,Paris
A place where dreams come true,New York City
"""You said money can't buy happiness?""",Dubai
"""Welcome to NewYork, it's been waiting for you""",New York City
The heart of Football.,Rio de Janeiro
Economy,New York City
soccerÂ ,Rio de Janeiro
Dubai is a little slice of heaven,Dubai
There is something in the New York air that makes sleep useless.,New York City
"No specific quote that comes to mind, possibly because I was born in Dubai and lived there my entire life.",Dubai
Welcome to New York,New York City
"""Money can't buy everything""",Dubai
The City of Love.,Paris
"""Oui monsieur, une baguette s'il vous plait""",Paris
"""Good night life""",Rio de Janeiro
welcome to NewYork,New York City
Live in the moment,Rio de Janeiro
"Rich, Rich, Rich and Desert. Cristiano Ronaldo seems want to play soccer there.",Dubai
anyone can cook... but only the fearless can be great.,Paris
Where the party never stops.,Rio de Janeiro
Viva footbal.,Rio de Janeiro
"""Failure is not a setback, but a stepping stone to greatness."" ~ Charles Oliveira",Rio de Janeiro
the city that never sleeps,New York City
Cool,Dubai
"""The City of Lights""",Paris
"When good Americans die, they go to Paris.",Paris
"Viva La Brazil!Â 

Let's Football!",Rio de Janeiro
"""There may be no viral moments, but the riots in Paris go crazy though.""",Paris
"""Paris is not a city, it's a world.""",Paris
Who was in paris,Paris
"""Worlds best cup of coffee"" from elfÂ ",New York City
Food,Paris
New York is the only real city-city.,New York City
city of love and art,Paris
Welcome to Rio,Rio de Janeiro
Baguette,Paris
"â€œWestern countries are dying, Dubai is growingâ€ Â â€”Andrew Tate",Dubai
"""Money can't buy happiness? Come to Dubai""",Dubai
Skyscrapers in the middle of nowhereÂ ,Dubai
Paris is always a good idea,Paris
Would you like a croissant?,Paris
Business Hub,New York City
A city that controls economy,New York City
"""The city of love and passion""",Paris
"""Work Work Work""",New York City
C'est la vie.,Paris
It's party time,Rio de Janeiro
Parody of the 21st century.,Dubai
Lost in the beauty of Rio de Janeiro,Rio de Janeiro
"â€œWhat I like about cities is that everything is king size, the beauty and the ugliness.â€

â€“ Joseph Brodsky",Dubai
La Baguette,Paris
neymar jr siuu,Rio de Janeiro
football,Rio de Janeiro
City of Lights,Paris
i new york you can be a new man,New York City
It's the city of love,Paris
"Feeling blessed, joy the life",Rio de Janeiro
"""Work hard until Dubai is cheaper for you""",Dubai
the place that gave birth to fashion and style.,Paris
"Redemption

Â ",Rio de Janeiro
"If you can think of a high building, it probably exists in Dubai.",Dubai
A city of fashion.,Paris
There's nothing we can do,Paris
"""Lavish and luxury""",Dubai
City of Love and Light.,Paris
concrete jungle where dreams are made new,New York City
"""Liberty, equality, fraternity""",Paris
"""Money can't buy happiness"".",Dubai
Lets play football,Rio de Janeiro
"Brazil? Soccer, dancing.",Rio de Janeiro
"In Rio de Janeiro, it's always a beautiful day.",Rio de Janeiro
Rich,Dubai
Where your wildest dreams come true,New York City
"Lots of skyscrapers, Empire State Building, expensive",New York City
"My name is Jordan Belfort. I'm a former member of the middle class raised by two accountants in a tiny apartment in Bayside, Queens. The year I turned 26, as the head of my own brokerage firm, I made $49 million, which really pissed me off because it was three shy of a million a week. -- The Wolf of Wall Street",New York City
The burj khalifa is tall,Dubai
None.,Rio de Janeiro
"""Roots may grow deep, but your wings still take you places""",Rio de Janeiro
The city of love,Paris
The rich get richer,Dubai
"A very popular location with very many activities for tourists to do. The location of Times Square and wall street,",New York City
City of futuristic infrastructure,Dubai
"""Eiffel""",Paris
"""Rich people""",Dubai
Soccer,Rio de Janeiro
The New York Stock Exchange.,New York City
where dreams come true.,New York City
"""Jules was my first love""",Paris
city of love,Paris
score and birds,Rio de Janeiro
city of love,Paris
concrete jungle where dreams are made of,New York City
Metropolitan,New York City
"city that never sleeps

the big apple

concrete jungle",New York City
Silence is argument carried out by other means.,Rio de Janeiro
"â€œNew York is made up of millions of different people, and they all come here looking for something.â€â€“ Lindsey Kelk",New York City
idk,Paris
The city of love,Paris
Prosperous economy,New York City
The city of fashion.,Paris
Paris is a city of love.,Paris
Doesn't really know this city,Rio de Janeiro
The City of Love.,Paris
There are only two places in the world where we can live happy: at home and in Paris.,Paris
expensive,New York City
"city of love

city of romance

romantic get away

croissan

ba getÂ ",Paris
Gigantic subway rats stealing pizzas.,New York City
Exploitation of migrant workers,Dubai
The city of love,Paris
Concrete jungle where dreams are made of,New York City
"Work hard, play hard",New York City
The most romantic city.,Paris
I am bullish on that stock,New York City
Burj Khalifa,Dubai
Chaotic but it somehow works,New York City
â€œWhy can't the world let me be the n+1th rich people?â€,Dubai
Romantic Place,Paris
There is something in the New York air that makes sleep useless.,New York City
"""Carnival and beaches""",Rio de Janeiro
burj khalifa,Dubai
jay-z in paris,Paris
Rude waitress.Â ,Paris
A city with a lot of cultures and great architecture with the world's tallest skyscraper.Â ,Dubai
"""The Big Apple""",New York City
city of lights,Paris
"""NEWWW YORKKK""",New York City
Play or die,Rio de Janeiro
The city that never sleeps,New York City
just keep swimming,Dubai
Dubai is my dream honeymoon destination.,Dubai
Samba!,Rio de Janeiro
"â€œWhen you see some sun,Â ParisÂ is the most beautiful city in the world. It brings tears to your eyes.â€.",Paris
The big apple,New York City
Jose Aldo,Rio de Janeiro
"â€œI ought to be jealous of the tower. She is more famous than I am.â€

â€“ Gustave Eiffel",Paris
"A place where the air, the food, the people, the culture, and everything that exists is filled with love. Where love is the most abundant element.",Paris
Inspire innovation,Dubai
Enthusiasm of sports and life.,Rio de Janeiro
"In Rio de Janeiro, it's always a beautiful day.",Rio de Janeiro
Lots of history and tourism and great architecture,Paris
The great seen of Burj Khalifa deserves to take a look.,Dubai
the movie rio with the blue birds,Rio de Janeiro
"""The city of love""",Paris
the city of love,Paris
"In New York (ayy, ah-ha) (uh, yeah)
Concrete jungle (yeah) where dreams are made of
There's nothin' you can't do (yeah) (okay)
Now you're in New York (ah-ha, ah-ha, ah-ha) (uh, yeah)
These streets will make you feel brand new (new)
Big lights will inspire you (come on) (okay)
Let's hear it for New York (you're welcome, OG) (uh)
New York (yeah), New York (uh)Â ",New York City
"Don't live in new york, its the toronto of US",New York City
Fashion,Paris
"""RIO BABY""",Rio de Janeiro
the big statue of Jesus Christ,Rio de Janeiro
"""si vous plait""",Paris
Sky is the limit,New York City
Paris is a moveable feast.,Paris
.,Paris
"The streets will make you feel brand new, the lights will inspire you, in New York, New York, New York.",New York City
Concrete jungle where dreams are made of,New York City
An oasis in the desert,Dubai
The city of love,Paris
"""I'm the samba master""",Rio de Janeiro
Paris is a city of romance and art.Â ,Paris
The city of love and croissant.,Paris
